loan_id,month_index,reporting_month,origination_month,loan_age_months,remaining_term_months,original_balance,current_balance,interest_rate,credit_score_band,ltv_band,dti_band,state,loan_purpose,occupancy_type,property_type,servicer_name,current_status,days_past_due,modification_flag,prepayment_flag,default_flag,loss_severity_band,last_updated_at,source_system,document_status,next_state,next_3m_delinquency_flag,next_6m_delinquency_flag,next_12m_default_flag,next_12m_prepayment_flag,exception_required,exception_type
LN000001,9,2023-11-01,2023-03-01,8,352,228575.39,222861.00524999993,2.5,650-699,80-90%,30-40%,PA,Refinance-Cashout,Investment,Multi-Unit,Servicer B,Current,0,False,False,False,None,2023-11-16,PrimaryCore,Complete,Current,1,1,0,0,0,None
LN000001,10,2023-12-01,2023-03-01,9,351,228575.39,222226.07361111103,2.5,650-699,80-90%,30-40%,PA,Refinance-Cashout,Investment,Multi-Unit,Servicer C,Current,0,False,False,False,None,2023-12-16,PrimaryCore,Complete,Current,1,1,0,0,0,None
LN000001,11,2024-01-01,2023-03-01,10,350,228575.39,221591.14197222213,2.5,650-699,80-90%,30-40%,PA,Refinance-Cashout,Investment,Multi-Unit,Servicer C,Current,0,False,False,False,None,2024-01-16,PrimaryCore,Complete,30 DPD,1,1,0,0,0,None
LN000001,12,2024-02-01,2023-03-01,11,349,228575.39,220956.21033333323,2.5,650-699,80-90%,30-40%,PA,Refinance-Cashout,Investment,Multi-Unit,Servicer A,30 DPD,30,False,False,False,None,2024-02-16,PrimaryCore,Complete,Current,1,1,0,0,0,None
LN000001,13,2024-03-01,2023-03-01,12,348,228575.39,220321.27869444434,2.5,650-699,80-90%,30-40%,PA,Refinance-Cashout,Investment,Multi-Unit,Servicer A,Current,0,False,False,False,None,2024-03-16,PrimaryCore,Complete,30 DPD,1,1,0,0,0,None
LN000001,14,2024-04-01,2023-03-01,13,347,228575.39,219686.34705555544,2.5,650-699,80-90%,30-40%,PA,Refinance-Cashout,Investment,Multi-Unit,Servicer A,30 DPD,30,False,False,False,None,2024-04-16,PrimaryCore,Complete,60 DPD,1,1,0,0,0,None
LN000001,15,2024-05-01,2023-03-01,14,346,228575.39,219051.41541666654,2.5,650-699,80-90%,30-40%,PA,Refinance-Cashout,Investment,Multi-Unit,Servicer A,60 DPD,60,False,False,False,None,2024-05-16,PrimaryCore,Missing_Doc,60 DPD,1,1,0,0,0,None
LN000001,16,2024-06-01,2023-03-01,15,345,228575.39,218416.48377777764,2.5,650-699,80-90%,30-40%,PA,Refinance-Cashout,Investment,Multi-Unit,Servicer A,60 DPD,60,False,False,False,None,2024-06-16,PrimaryCore,Complete,Current,0,0,0,0,0,None
LN000001,17,2024-07-01,2023-03-01,16,344,228575.39,217781.55213888874,2.5,650-699,80-90%,30-40%,PA,Refinance-Cashout,Investment,Multi-Unit,Servicer C,Current,0,False,False,False,None,2024-07-16,PrimaryCore,Complete,Current,0,0,0,0,0,None
LN000001,18,2024-08-01,2023-03-01,17,343,228575.39,217146.62049999984,2.5,650-699,80-90%,30-40%,PA,Refinance-Cashout,Investment,Multi-Unit,Servicer C,Current,0,False,False,False,None,2024-08-16,PrimaryCore,Complete,Current,0,0,0,0,0,None
LN000001,19,2024-09-01,2023-03-01,18,342,228575.39,216511.68886111095,2.5,650-699,80-90%,30-40%,PA,Refinance-Cashout,Investment,Multi-Unit,Servicer C,Current,0,False,False,False,None,2024-09-16,PrimaryCore,Complete,Current,0,0,0,0,0,None
LN000001,20,2024-10-01,2023-03-01,19,341,228575.39,215876.75722222205,2.5,650-699,80-90%,30-40%,PA,Refinance-Cashout,Investment,Multi-Unit,Servicer A,Current,0,False,False,False,None,2024-10-16,PrimaryCore,Complete,Current,0,0,0,0,0,None
LN000001,21,2024-11-01,2023-03-01,20,340,228575.39,215241.82558333315,2.5,650-699,80-90%,30-40%,PA,Refinance-Cashout,Investment,Multi-Unit,Servicer C,Current,0,False,False,False,None,2024-11-16,PrimaryCore,Complete,Current,0,0,0,0,0,None
LN000001,22,2024-12-01,2023-03-01,21,339,228575.39,214606.89394444425,2.5,650-699,80-90%,30-40%,PA,Refinance-Cashout,Investment,Multi-Unit,Servicer C,Current,0,False,False,False,None,2024-12-16,PrimaryCore,Complete,Current,0,0,0,0,0,None
LN000002,1,2022-08-01,2022-08-01,0,360,281651.28,280868.91533333337,4.714,600-649,70-80%,30-40%,PA,Refinance-Cashout,Investment,Single-Family,Servicer B,Current,0,False,False,False,None,2022-08-16,PrimaryCore,Complete,Current,0,0,0,0,0,None
LN000002,2,2022-09-01,2022-08-01,1,359,281651.28,280086.5506666667,4.714,600-649,70-80%,30-40%,PA,Refinance-Cashout,Investment,Single-Family,Servicer C,Current,0,False,False,False,None,2022-09-16,PrimaryCore,Complete,Current,0,0,0,0,0,None
LN000002,3,2022-10-01,2022-08-01,2,358,281651.28,279304.18600000005,4.714,600-649,70-80%,30-40%,PA,Refinance-Cashout,Investment,Single-Family,Servicer C,Current,0,False,False,False,None,2022-10-16,PrimaryCore,Complete,Current,0,0,0,0,0,None
LN000002,4,2022-11-01,2022-08-01,3,357,281651.28,278521.8213333334,4.714,600-649,70-80%,30-40%,PA,Refinance-Cashout,Investment,Single-Family,Servicer B,Current,0,False,False,False,None,2022-11-16,PrimaryCore,Complete,Current,0,0,0,0,0,None
LN000002,5,2022-12-01,2022-08-01,4,356,281651.28,277739.4566666667,4.714,600-649,70-80%,30-40%,PA,Refinance-Cashout,Investment,Single-Family,Servicer A,Current,0,False,False,False,None,2022-12-16,PrimaryCore,Complete,Current,0,0,0,1,0,None
LN000002,6,2023-01-01,2022-08-01,5,355,281651.28,276957.09200000006,4.714,600-649,70-80%,30-40%,PA,Refinance-Cashout,Investment,Single-Family,Servicer B,Current,0,False,False,False,None,2023-01-16,PrimaryCore,Complete,Current,0,0,0,1,0,None
LN000002,7,2023-02-01,2022-08-01,6,354,281651.28,276174.7273333334,4.714,600-649,70-80%,30-40%,PA,Refinance-Cashout,Investment,Single-Family,Servicer C,Current,0,False,False,False,None,2023-02-16,PrimaryCore,Complete,Current,0,0,0,0,0,None
LN000002,8,2023-03-01,2022-08-01,7,353,281651.28,275392.36266666674,4.714,600-649,70-80%,30-40%,PA,Refinance-Cashout,Investment,Single-Family,Servicer A,Current,0,False,False,False,None,2023-03-16,PrimaryCore,Complete,Current,0,0,0,0,0,None
LN000002,9,2023-04-01,2022-08-01,8,352,281651.28,274609.9980000001,4.714,600-649,70-80%,30-40%,PA,Refinance-Cashout,Investment,Single-Family,Servicer A,Current,0,False,False,False,None,2023-04-16,PrimaryCore,Complete,Current,0,0,0,0,0,None
LN000002,10,2023-05-01,2022-08-01,9,351,281651.28,273827.6333333334,4.714,600-649,70-80%,30-40%,PA,Refinance-Cashout,Investment,Single-Family,Servicer C,Current,0,False,False,False,None,2023-05-16,PrimaryCore,Complete,Current,0,0,0,0,0,None
LN000002,11,2023-06-01,2022-08-01,10,350,281651.28,273045.26866666676,4.714,600-649,70-80%,30-40%,PA,Refinance-Cashout,Investment,Single-Family,Servicer B,Current,0,False,False,False,None,2023-06-16,PrimaryCore,Complete,Current,0,0,0,0,0,None
LN000002,12,2023-07-01,2022-08-01,11,349,281651.28,272262.9040000001,4.714,600-649,70-80%,30-40%,PA,Refinance-Cashout,Investment,Single-Family,Servicer C,Current,0,False,False,False,None,2023-07-16,PrimaryCore,Complete,Current,0,0,0,0,0,None
LN000002,13,2023-08-01,2022-08-01,12,348,281651.28,271480.53933333344,4.714,600-649,70-80%,30-40%,PA,Refinance-Cashout,Investment,Single-Family,Servicer A,Current,0,False,False,False,None,2023-08-16,PrimaryCore,Complete,Current,0,0,0,0,0,None
LN000002,14,2023-09-01,2022-08-01,13,347,281651.28,270698.1746666668,4.714,600-649,70-80%,30-40%,PA,Refinance-Cashout,Investment,Single-Family,Servicer B,Current,0,False,False,False,None,2023-09-16,PrimaryCore,Complete,Current,0,0,0,0,0,None
LN000002,15,2023-10-01,2022-08-01,14,346,281651.28,269915.8100000001,4.714,600-649,70-80%,30-40%,PA,Refinance-Cashout,Investment,Single-Family,Servicer B,Current,0,False,False,False,None,2023-10-16,PrimaryCore,Complete,Current,0,0,0,0,0,None
LN000002,16,2023-11-01,2022-08-01,15,345,281651.28,269133.44533333345,4.714,600-649,70-80%,30-40%,PA,Refinance-Cashout,Investment,Single-Family,Servicer A,Current,0,False,False,False,None,2023-11-16,PrimaryCore,Complete,Prepaid,0,0,0,0,0,None
LN000002,17,2023-12-01,2022-08-01,16,344,281651.28,0.0,4.714,600-649,70-80%,30-40%,PA,Refinance-Cashout,Investment,Single-Family,Servicer B,Prepaid,0,False,True,False,None,2023-12-16,PrimaryCore,Missing_Doc,Terminal,0,0,0,0,0,None
LN000003,1,2023-09-01,2023-09-01,0,360,133019.98,132650.48005555556,2.5,650-699,80-90%,30-40%,OH,Purchase,Owner-Occupied,Single-Family,Servicer A,Current,0,False,False,False,None,2023-09-16,PrimaryCore,Complete,Current,0,0,0,0,0,None
LN000003,2,2023-10-01,2023-09-01,1,359,133019.98,132280.9801111111,2.5,650-699,80-90%,30-40%,OH,Purchase,Owner-Occupied,Single-Family,Servicer B,Current,0,False,False,False,None,2023-10-16,PrimaryCore,Complete,Current,0,0,0,0,0,None
LN000003,3,2023-11-01,2023-09-01,2,358,133019.98,131911.48016666665,2.5,650-699,80-90%,30-40%,OH,Purchase,Owner-Occupied,Single-Family,Servicer C,Current,0,False,False,False,None,2023-11-16,PrimaryCore,Complete,Current,0,0,0,0,0,None
LN000003,4,2023-12-01,2023-09-01,3,357,133019.98,131541.9802222222,2.5,650-699,80-90%,30-40%,OH,Purchase,Owner-Occupied,Single-Family,Servicer C,Current,0,False,False,False,None,2023-12-16,PrimaryCore,Complete,Current,0,0,0,0,0,None
LN000003,5,2024-01-01,2023-09-01,4,356,133019.98,131172.48027777774,2.5,650-699,80-90%,30-40%,OH,Purchase,Owner-Occupied,Single-Family,Servicer B,Current,0,False,False,False,None,2024-01-16,PrimaryCore,Complete,Current,0,0,0,0,0,None
LN000003,6,2024-02-01,2023-09-01,5,355,133019.98,130802.9803333333,2.5,650-699,80-90%,30-40%,OH,Purchase,Owner-Occupied,Single-Family,Servicer A,Current,0,False,False,False,None,2024-02-16,PrimaryCore,Complete,Current,0,0,0,0,0,None
LN000003,7,2024-03-01,2023-09-01,6,354,133019.98,130433.48038888886,2.5,650-699,80-90%,30-40%,OH,Purchase,Owner-Occupied,Single-Family,Servicer A,Current,0,False,False,False,None,2024-03-16,PrimaryCore,Complete,Current,0,0,0,0,0,None
LN000003,8,2024-04-01,2023-09-01,7,353,133019.98,130063.98044444442,2.5,650-699,80-90%,30-40%,OH,Purchase,Owner-Occupied,Single-Family,Servicer C,Current,0,False,False,False,None,2024-04-16,PrimaryCore,Complete,Current,0,0,0,0,0,None
LN000003,9,2024-05-01,2023-09-01,8,352,133019.98,129694.48049999998,2.5,650-699,80-90%,30-40%,OH,Purchase,Owner-Occupied,Single-Family,Servicer C,Current,0,False,False,False,None,2024-05-16,PrimaryCore,Complete,Current,0,0,0,1,0,None
LN000003,10,2024-06-01,2023-09-01,9,351,133019.98,129324.98055555554,2.5,650-699,80-90%,30-40%,OH,Purchase,Owner-Occupied,Single-Family,Servicer C,Current,0,False,False,False,None,2024-06-16,PrimaryCore,Complete,Current,0,0,0,1,0,None
LN000003,11,2024-07-01,2023-09-01,10,350,133019.98,128955.4806111111,2.5,650-699,80-90%,30-40%,OH,Purchase,Owner-Occupied,Single-Family,Servicer A,Current,0,False,False,False,None,2024-07-16,PrimaryCore,Complete,Current,0,0,0,0,0,None
LN000003,12,2024-08-01,2023-09-01,11,349,133019.98,128585.98066666666,2.5,650-699,80-90%,30-40%,OH,Purchase,Owner-Occupied,Single-Family,Servicer B,Current,0,False,False,False,None,2024-08-16,PrimaryCore,Complete,Current,0,0,0,0,0,None
LN000003,13,2024-09-01,2023-09-01,12,348,133019.98,128216.48072222222,2.5,650-699,80-90%,30-40%,OH,Purchase,Owner-Occupied,Single-Family,Servicer B,Current,0,False,False,False,None,2024-09-16,PrimaryCore,Complete,Current,0,0,0,0,0,None
LN000003,14,2024-10-01,2023-09-01,13,347,133019.98,127846.98077777778,2.5,650-699,80-90%,30-40%,OH,Purchase,Owner-Occupied,Single-Family,Servicer A,Current,0,False,False,False,None,2024-10-16,PrimaryCore,Complete,Current,0,0,0,0,0,None
LN000003,15,2024-11-01,2023-09-01,14,346,133019.98,127477.48083333333,2.5,650-699,80-90%,30-40%,OH,Purchase,Owner-Occupied,Single-Family,Servicer A,Current,0,False,False,False,None,2024-11-16,PrimaryCore,Complete,Current,0,0,0,0,0,None
LN000003,16,2024-12-01,2023-09-01,15,345,133019.98,127107.9808888889,2.5,650-699,80-90%,30-40%,OH,Purchase,Owner-Occupied,Single-Family,Servicer A,Current,0,False,False,False,None,2024-12-16,PrimaryCore,Complete,Current,0,0,0,0,0,None
LN000004,1,2023-07-01,2023-07-01,0,360,304677.14,303830.8146111111,3.394,650-699,70-80%,<30%,CA,Purchase,Investment,Single-Family,Servicer B,Current,0,False,False,False,None,2023-07-16,PrimaryCore,Complete,Prepaid,0,0,0,0,0,None
LN000004,2,2023-08-01,2023-07-01,1,359,304677.14,0.0,3.394,650-699,70-80%,<30%,CA,Purchase,Investment,Single-Family,Servicer A,Prepaid,0,False,True,False,None,2023-08-16,PrimaryCore,Missing_Doc,Terminal,0,0,0,0,0,None
LN000005,1,2023-11-01,2023-11-01,0,360,289284.71,288481.14136111113,2.896,700-749,60-70%,30-40%,NC,Purchase,Owner-Occupied,Single-Family,Servicer C,Current,0,False,False,False,None,2023-11-16,PrimaryCore,Complete,Current,0,0,0,0,0,None
LN000005,2,2023-12-01,2023-11-01,1,359,289284.71,287677.57272222225,2.896,700-749,60-70%,30-40%,NC,Purchase,Owner-Occupied,Single-Family,Servicer C,Current,0,False,False,False,None,2023-12-16,PrimaryCore,Complete,Current,0,0,0,0,0,None
LN000005,3,2024-01-01,2023-11-01,2,358,289284.71,286874.00408333336,2.896,700-749,60-70%,30-40%,NC,Purchase,Owner-Occupied,Single-Family,Servicer B,Current,0,False,False,False,None,2024-01-16,PrimaryCore,Complete,Prepaid,0,0,0,0,0,None
LN000005,4,2024-02-01,2023-11-01,3,357,289284.71,0.0,2.896,700-749,60-70%,30-40%,NC,Purchase,Owner-Occupied,Single-Family,Servicer C,Prepaid,0,False,True,False,None,2024-02-16,PrimaryCore,Complete,Terminal,0,0,0,0,0,None
LN000006,1,2022-11-01,2022-11-01,0,360,418420.91,417258.6296944444,6.699,650-699,80-90%,30-40%,TX,Purchase,Owner-Occupied,Single-Family,Servicer B,Current,0,False,False,False,None,2022-11-16,PrimaryCore,Complete,Current,0,0,0,0,0,None
LN000006,2,2022-12-01,2022-11-01,1,359,418420.91,416096.34938888886,6.699,650-699,80-90%,30-40%,TX,Purchase,Owner-Occupied,Single-Family,Servicer C,Current,0,False,False,False,None,2022-12-16,PrimaryCore,Complete,Current,0,0,0,0,0,None
LN000006,3,2023-01-01,2022-11-01,2,358,418420.91,414934.0690833333,6.699,650-699,80-90%,30-40%,TX,Purchase,Owner-Occupied,Single-Family,Servicer A,Current,0,False,False,False,None,2023-01-16,PrimaryCore,Complete,Current,0,0,0,0,0,None
LN000006,4,2023-02-01,2022-11-01,3,357,418420.91,413771.78877777775,6.699,650-699,80-90%,30-40%,TX,Purchase,Owner-Occupied,Single-Family,Servicer A,Current,0,False,False,False,None,2023-02-16,PrimaryCore,Missing_Doc,Prepaid,0,0,0,0,0,None
LN000006,5,2023-03-01,2022-11-01,4,356,418420.91,0.0,6.699,650-699,80-90%,30-40%,TX,Purchase,Owner-Occupied,Single-Family,Servicer B,Prepaid,0,False,True,False,None,2023-03-16,PrimaryCore,Complete,Terminal,0,0,0,0,0,None
LN000007,1,2022-11-01,2022-11-01,0,360,218013.45,217407.85708333334,7.17,800+,70-80%,<30%,NY,Refinance-Rate-Term,Owner-Occupied,Single-Family,Servicer C,Current,0,False,False,False,None,2022-11-16,PrimaryCore,Complete,Current,1,1,0,0,0,None
LN000007,2,2022-12-01,2022-11-01,1,359,218013.45,216802.26416666666,7.17,800+,70-80%,<30%,NY,Refinance-Rate-Term,Owner-Occupied,Single-Family,Servicer A,Current,0,False,False,False,None,2022-12-16,PrimaryCore,Complete,30 DPD,1,1,0,0,0,None
LN000007,3,2023-01-01,2022-11-01,2,358,218013.45,216196.67124999998,7.17,800+,70-80%,<30%,NY,Refinance-Rate-Term,Owner-Occupied,Single-Family,Servicer C,30 DPD,30,False,False,False,None,2023-01-16,PrimaryCore,Complete,Current,0,0,0,0,0,None
LN000007,4,2023-02-01,2022-11-01,3,357,218013.45,215591.0783333333,7.17,800+,70-80%,<30%,NY,Refinance-Rate-Term,Owner-Occupied,Single-Family,Servicer A,Current,0,False,False,False,None,2023-02-16,PrimaryCore,Complete,Current,0,0,0,0,0,None
LN000007,5,2023-03-01,2022-11-01,4,356,218013.45,214985.48541666663,7.17,800+,70-80%,<30%,NY,Refinance-Rate-Term,Owner-Occupied,Single-Family,Servicer C,Current,0,False,False,False,None,2023-03-16,PrimaryCore,Complete,Current,0,0,0,0,0,None
LN000007,6,2023-04-01,2022-11-01,5,355,218013.45,214379.89249999996,7.17,800+,70-80%,<30%,NY,Refinance-Rate-Term,Owner-Occupied,Single-Family,Servicer C,Current,0,False,False,False,None,2023-04-16,PrimaryCore,Complete,Current,0,0,0,0,0,None
LN000007,7,2023-05-01,2022-11-01,6,354,218013.45,213774.29958333328,7.17,800+,70-80%,<30%,NY,Refinance-Rate-Term,Owner-Occupied,Single-Family,Servicer B,Current,0,False,False,False,None,2023-05-16,PrimaryCore,Complete,Current,0,0,0,0,0,None
LN000007,8,2023-06-01,2022-11-01,7,353,218013.45,213168.7066666666,7.17,800+,70-80%,<30%,NY,Refinance-Rate-Term,Owner-Occupied,Single-Family,Servicer B,Current,0,False,False,False,None,2023-06-16,PrimaryCore,Complete,Current,0,0,0,0,0,None
LN000007,9,2023-07-01,2022-11-01,8,352,218013.45,212563.11374999993,7.17,800+,70-80%,<30%,NY,Refinance-Rate-Term,Owner-Occupied,Single-Family,Servicer B,Current,0,False,False,False,None,2023-07-16,PrimaryCore,Complete,Current,0,0,0,0,0,None
LN000007,10,2023-08-01,2022-11-01,9,351,218013.45,211957.52083333326,7.17,800+,70-80%,<30%,NY,Refinance-Rate-Term,Owner-Occupied,Single-Family,Servicer A,Current,0,False,False,False,None,2023-08-16,PrimaryCore,Complete,Current,0,0,0,0,0,None
LN000007,11,2023-09-01,2022-11-01,10,350,218013.45,211351.92791666658,7.17,800+,70-80%,<30%,NY,Refinance-Rate-Term,Owner-Occupied,Single-Family,Servicer C,Current,0,False,False,False,None,2023-09-16,PrimaryCore,Complete,Current,0,0,0,0,0,None
LN000007,12,2023-10-01,2022-11-01,11,349,218013.45,210746.3349999999,7.17,800+,70-80%,<30%,NY,Refinance-Rate-Term,Owner-Occupied,Single-Family,Servicer C,Current,0,False,False,False,None,2023-10-16,PrimaryCore,Complete,Current,0,0,0,0,0,None
LN000007,13,2023-11-01,2022-11-01,12,348,218013.45,210140.74208333323,7.17,800+,70-80%,<30%,NY,Refinance-Rate-Term,Owner-Occupied,Single-Family,Servicer B,Current,0,False,False,False,None,2023-11-16,PrimaryCore,Missing_Doc,Current,0,0,0,0,0,None
LN000007,14,2023-12-01,2022-11-01,13,347,218013.45,209535.14916666655,7.17,800+,70-80%,<30%,NY,Refinance-Rate-Term,Owner-Occupied,Single-Family,Servicer A,Current,0,False,False,False,None,2023-12-16,PrimaryCore,Complete,Current,0,0,0,0,0,None
LN000007,15,2024-01-01,2022-11-01,14,346,218013.45,208929.55624999988,7.17,800+,70-80%,<30%,NY,Refinance-Rate-Term,Owner-Occupied,Single-Family,Servicer B,Current,0,False,False,False,None,2024-01-16,PrimaryCore,Complete,Current,0,0,0,0,0,None
LN000007,16,2024-02-01,2022-11-01,15,345,218013.45,208323.9633333332,7.17,800+,70-80%,<30%,NY,Refinance-Rate-Term,Owner-Occupied,Single-Family,Servicer B,Current,0,False,False,False,None,2024-02-16,PrimaryCore,Complete,Current,0,0,0,0,0,None
LN000007,17,2024-03-01,2022-11-01,16,344,218013.45,207718.37041666653,7.17,800+,70-80%,<30%,NY,Refinance-Rate-Term,Owner-Occupied,Single-Family,Servicer B,Current,0,False,False,False,None,2024-03-16,PrimaryCore,Complete,Current,0,0,0,0,0,None
LN000007,18,2024-04-01,2022-11-01,17,343,218013.45,207112.77749999985,7.17,800+,70-80%,<30%,NY,Refinance-Rate-Term,Owner-Occupied,Single-Family,Servicer B,Current,0,False,False,False,None,2024-04-16,PrimaryCore,Complete,Current,0,0,0,0,0,None
LN000007,19,2024-05-01,2022-11-01,18,342,218013.45,206507.18458333318,7.17,800+,70-80%,<30%,NY,Refinance-Rate-Term,Owner-Occupied,Single-Family,Servicer B,Current,0,False,False,False,None,2024-05-16,PrimaryCore,Complete,Current,0,0,0,0,0,None
LN000007,20,2024-06-01,2022-11-01,19,341,218013.45,205901.5916666665,7.17,800+,70-80%,<30%,NY,Refinance-Rate-Term,Owner-Occupied,Single-Family,Servicer C,Current,0,False,False,False,None,2024-06-16,PrimaryCore,Complete,Current,0,0,0,0,0,None
LN000007,21,2024-07-01,2022-11-01,20,340,218013.45,205295.99874999982,7.17,800+,70-80%,<30%,NY,Refinance-Rate-Term,Owner-Occupied,Single-Family,Servicer A,Current,0,False,False,False,None,2024-07-16,PrimaryCore,Complete,Current,0,0,0,0,0,None
LN000007,22,2024-08-01,2022-11-01,21,339,218013.45,204690.40583333315,7.17,800+,70-80%,<30%,NY,Refinance-Rate-Term,Owner-Occupied,Single-Family,Servicer A,Current,0,False,False,False,None,2024-08-16,PrimaryCore,Complete,Current,0,0,0,0,0,None
LN000007,23,2024-09-01,2022-11-01,22,338,218013.45,204084.81291666647,7.17,800+,70-80%,<30%,NY,Refinance-Rate-Term,Owner-Occupied,Single-Family,Servicer B,Current,0,False,False,False,None,2024-09-16,PrimaryCore,Complete,Current,0,0,0,0,0,None
LN000007,24,2024-10-01,2022-11-01,23,337,218013.45,203479.2199999998,7.17,800+,70-80%,<30%,NY,Refinance-Rate-Term,Owner-Occupied,Single-Family,Servicer A,Current,0,False,False,False,None,2024-10-16,PrimaryCore,Complete,Current,0,0,0,0,0,None
LN000007,25,2024-11-01,2022-11-01,24,336,218013.45,202873.62708333312,7.17,800+,70-80%,<30%,NY,Refinance-Rate-Term,Owner-Occupied,Single-Family,Servicer C,Current,0,False,False,False,None,2024-11-16,PrimaryCore,Complete,Current,0,0,0,0,0,None
LN000007,26,2024-12-01,2022-11-01,25,335,218013.45,202268.03416666645,7.17,800+,70-80%,<30%,NY,Refinance-Rate-Term,Owner-Occupied,Single-Family,Servicer B,Current,0,False,False,False,None,2024-12-16,PrimaryCore,Complete,Current,0,0,0,0,0,None
