loan_id,reporting_month,current_balance,current_status,last_updated_at,source_system
LN003089,2025-05-01,248452.07101540334,Current,2025-05-11,ServicerSecondary
LN000890,2025-04-01,162453.54559168062,30 DPD,2025-04-11,ServicerSecondary
LN004551,2025-05-01,398506.01674474974,Current,2025-05-11,ServicerSecondary
LN002294,2025-06-01,182350.72736999474,Current,2025-06-11,ServicerSecondary
LN000511,2025-02-01,240133.79985146353,Current,2025-02-11,ServicerSecondary
LN003793,2025-03-01,404909.6439694057,Current,2025-03-11,ServicerSecondary
LN004260,2025-01-01,363388.28559649515,Current,2025-01-11,ServicerSecondary
LN002864,2025-01-01,400833.33560173307,Current,2025-01-11,ServicerSecondary
LN004559,2025-03-01,321107.8629413098,Current,2025-03-11,ServicerSecondary
LN004926,2025-03-01,206053.78312897478,Current,2025-03-11,ServicerSecondary
LN000052,2025-06-01,401602.0824217015,Current,2025-06-11,ServicerSecondary
LN004254,2025-01-01,375665.97255265375,Current,2025-01-11,ServicerSecondary
LN001148,2025-06-01,331471.1092553876,Current,2025-06-11,ServicerSecondary
LN001760,2025-03-01,458151.723232904,Current,2025-03-11,ServicerSecondary
LN003023,2025-02-01,287118.7578399597,Current,2025-02-11,ServicerSecondary
LN003256,2025-03-01,282810.17927068536,Current,2025-03-11,ServicerSecondary
LN002698,2025-02-01,552498.426815472,Current,2025-02-11,ServicerSecondary
LN004322,2025-04-01,387427.05088692,Current,2025-04-11,ServicerSecondary
LN001737,2025-05-01,379466.0138006624,Current,2025-05-11,ServicerSecondary
LN001224,2025-05-01,235410.82613919745,Current,2025-05-11,ServicerSecondary
LN002671,2025-03-01,207725.44599209516,Current,2025-03-11,ServicerSecondary
LN001440,2025-06-01,180900.60809144395,Current,2025-06-11,ServicerSecondary
LN004493,2025-05-01,245952.29722791412,Current,2025-05-11,ServicerSecondary
LN001585,2025-01-01,229670.99132447835,Current,2025-01-11,ServicerSecondary
LN000882,2025-02-01,312569.4373700902,Current,2025-02-11,ServicerSecondary
LN003310,2025-05-01,334746.6779874089,Current,2025-05-11,ServicerSecondary
LN003132,2025-06-01,329001.3401185256,Current,2025-06-11,ServicerSecondary
LN001166,2025-03-01,302354.6751982439,Current,2025-03-11,ServicerSecondary
LN004030,2025-05-01,329413.8395794584,Current,2025-05-11,ServicerSecondary
LN001056,2025-06-01,344317.65605661407,30 DPD,2025-06-11,ServicerSecondary
LN003616,2025-01-01,0.0,Prepaid,2025-01-11,ServicerSecondary
LN001282,2025-01-01,249424.99782936086,Current,2025-01-11,ServicerSecondary
LN001496,2025-04-01,200785.82208509484,Current,2025-04-11,ServicerSecondary
LN004667,2025-04-01,281873.8268549789,Current,2025-04-11,ServicerSecondary
LN002597,2025-06-01,242508.13182436468,Current,2025-06-11,ServicerSecondary
LN004810,2025-02-01,134140.25879149482,Current,2025-02-11,ServicerSecondary
LN004566,2025-04-01,384761.5274486383,Current,2025-04-11,ServicerSecondary
LN001051,2025-04-01,338625.8647347707,Current,2025-04-11,ServicerSecondary
LN002355,2025-04-01,175439.7887761408,Current,2025-04-11,ServicerSecondary
LN003998,2025-04-01,209977.98785287308,Current,2025-04-11,ServicerSecondary
LN002142,2025-04-01,392768.22210279916,90+ DPD,2025-04-11,ServicerSecondary
LN003001,2025-01-01,292200.7050699783,Current,2025-01-11,ServicerSecondary
LN004238,2025-02-01,392884.31806789275,Current,2025-02-11,ServicerSecondary
LN000035,2025-04-01,0.0,Prepaid,2025-04-11,ServicerSecondary
LN001737,2025-06-01,375914.86319799593,Current,2025-06-11,ServicerSecondary
LN004179,2025-01-01,69666.217647671,Current,2025-01-11,ServicerSecondary
LN002484,2025-04-01,285340.8716228897,Current,2025-04-11,ServicerSecondary
LN003725,2025-06-01,222697.93819266287,Current,2025-06-11,ServicerSecondary
LN001460,2025-01-01,379062.3180380809,Current,2025-01-11,ServicerSecondary
LN002671,2025-04-01,192805.26375453657,Current,2025-04-11,ServicerSecondary
LN004462,2025-06-01,250222.06693564254,Current,2025-06-11,ServicerSecondary
LN003280,2025-03-01,328837.61240427475,Current,2025-03-11,ServicerSecondary
LN002272,2025-01-01,120288.55990757924,Current,2025-01-11,ServicerSecondary
LN002264,2025-02-01,244913.74376385118,60 DPD,2025-02-11,ServicerSecondary
LN003140,2025-01-01,0.0,Prepaid,2025-01-11,ServicerSecondary
LN001027,2025-02-01,0.0,Prepaid,2025-02-11,ServicerSecondary
LN001789,2025-01-01,262269.21886091586,Current,2025-01-11,ServicerSecondary
LN001252,2025-04-01,104522.47845909995,Current,2025-04-11,ServicerSecondary
LN004571,2025-05-01,105941.11273087231,Current,2025-05-11,ServicerSecondary
LN004865,2025-04-01,229555.8569306695,Current,2025-04-11,ServicerSecondary
LN002493,2025-06-01,248361.20906084214,Current,2025-06-11,ServicerSecondary
LN002804,2025-01-01,131322.59511230804,Current,2025-01-11,ServicerSecondary
LN004195,2025-05-01,250134.16015054347,Current,2025-05-11,ServicerSecondary
LN003440,2025-01-01,326418.6556174252,Current,2025-01-11,ServicerSecondary
LN002345,2025-06-01,349690.8306632028,Current,2025-06-11,ServicerSecondary
LN000794,2025-01-01,478417.4051347622,Current,2025-01-11,ServicerSecondary
LN000851,2025-05-01,398201.2016600453,Current,2025-05-11,ServicerSecondary
LN003581,2025-01-01,0.0,Prepaid,2025-01-11,ServicerSecondary
LN002077,2025-01-01,413972.81833864434,Current,2025-01-11,ServicerSecondary
LN001849,2025-03-01,289005.5019841765,Current,2025-03-11,ServicerSecondary
LN003086,2025-06-01,212311.62171370586,Current,2025-06-11,ServicerSecondary
LN003978,2025-03-01,350956.1170923592,Current,2025-03-11,ServicerSecondary
LN004106,2025-01-01,348682.88125233667,Current,2025-01-11,ServicerSecondary
LN004549,2025-04-01,342787.28237154166,Current,2025-04-11,ServicerSecondary
LN004040,2025-02-01,215076.8457150308,Current,2025-02-11,ServicerSecondary
LN001935,2025-02-01,314389.1121029232,Current,2025-02-11,ServicerSecondary
LN003802,2025-03-01,437514.67799301294,Current,2025-03-11,ServicerSecondary
LN003501,2025-05-01,297410.17433135613,Current,2025-05-11,ServicerSecondary
LN004920,2025-06-01,0.0,Prepaid,2025-06-11,ServicerSecondary
LN004592,2025-04-01,309606.4432916756,Current,2025-04-11,ServicerSecondary
LN001706,2025-04-01,271001.5975520536,Current,2025-04-11,ServicerSecondary
LN001928,2025-06-01,282679.4238499569,Current,2025-06-11,ServicerSecondary
LN003806,2025-03-01,422501.36633671983,Current,2025-03-11,ServicerSecondary
LN004004,2025-03-01,0.0,Prepaid,2025-03-11,ServicerSecondary
LN003091,2025-04-01,396871.9148184806,Current,2025-04-11,ServicerSecondary
LN002547,2025-01-01,361227.9745283956,Current,2025-01-11,ServicerSecondary
LN004965,2025-02-01,331466.1264860778,Current,2025-02-11,ServicerSecondary
LN000516,2025-02-01,176498.47814814822,Current,2025-02-11,ServicerSecondary
LN003909,2025-06-01,246833.01904846856,Current,2025-06-11,ServicerSecondary
LN003180,2025-03-01,345270.9624506042,Current,2025-03-11,ServicerSecondary
LN001952,2025-06-01,309527.0113330155,Current,2025-06-11,ServicerSecondary
LN004919,2025-05-01,397956.9420013401,Current,2025-05-11,ServicerSecondary
LN000282,2025-01-01,398954.0951713865,Current,2025-01-11,ServicerSecondary
LN003420,2025-04-01,181333.8897644747,Current,2025-04-11,ServicerSecondary
LN004989,2025-04-01,121144.78580905152,Current,2025-04-11,ServicerSecondary
LN004440,2025-01-01,323725.6917041012,Current,2025-01-11,ServicerSecondary
LN002087,2025-02-01,219781.85466288123,Current,2025-02-11,ServicerSecondary
LN003360,2025-04-01,326375.32895728294,Current,2025-04-11,ServicerSecondary
LN000366,2025-02-01,312730.47840549867,Current,2025-02-11,ServicerSecondary
LN004009,2025-03-01,472907.0223651561,Current,2025-03-11,ServicerSecondary
LN003676,2025-02-01,310676.0162892237,Current,2025-02-11,ServicerSecondary
LN004953,2025-06-01,156818.2314050216,Current,2025-06-11,ServicerSecondary
LN001187,2025-04-01,213972.13255932854,Current,2025-04-11,ServicerSecondary
LN002347,2025-06-01,412048.5412345939,Current,2025-06-11,ServicerSecondary
LN002741,2025-04-01,403376.2299858875,Current,2025-04-11,ServicerSecondary
LN003790,2025-02-01,199457.32891123908,Current,2025-02-11,ServicerSecondary
LN000710,2025-05-01,367890.4912347061,Current,2025-05-11,ServicerSecondary
LN004803,2025-02-01,286112.4600269015,Current,2025-02-11,ServicerSecondary
LN003141,2025-02-01,426126.95783141244,Current,2025-02-11,ServicerSecondary
LN002396,2025-04-01,0.0,Prepaid,2025-04-11,ServicerSecondary
LN004587,2025-01-01,373785.9826617539,Current,2025-01-11,ServicerSecondary
LN001301,2025-04-01,395142.0031235163,60 DPD,2025-04-11,ServicerSecondary
LN001528,2025-02-01,379736.1973945092,Current,2025-02-11,ServicerSecondary
LN003038,2025-01-01,315814.69585777406,Current,2025-01-11,ServicerSecondary
LN004062,2025-04-01,54601.46657740828,Current,2025-04-11,ServicerSecondary
LN003967,2025-03-01,373581.21823676996,Current,2025-03-11,ServicerSecondary
LN000826,2025-06-01,559309.2719159783,Current,2025-06-11,ServicerSecondary
LN003088,2025-01-01,385593.0687996977,Current,2025-01-11,ServicerSecondary
LN003230,2025-06-01,346444.2141054839,Current,2025-06-11,ServicerSecondary
LN000278,2025-04-01,265968.8394581007,Current,2025-04-11,ServicerSecondary
LN001075,2025-02-01,331415.05994171614,90+ DPD,2025-02-11,ServicerSecondary
LN000029,2025-03-01,110612.89997415802,Current,2025-03-11,ServicerSecondary
LN003583,2025-03-01,313079.1610883821,Current,2025-03-11,ServicerSecondary
LN000922,2025-05-01,352652.3668320727,Current,2025-05-11,ServicerSecondary
LN003105,2025-02-01,220112.1918094556,Current,2025-02-11,ServicerSecondary
LN002270,2025-01-01,115794.75478054924,Current,2025-01-11,ServicerSecondary
LN000558,2025-04-01,270916.68679216295,Current,2025-04-11,ServicerSecondary
LN003480,2025-05-01,0.0,Prepaid,2025-05-11,ServicerSecondary
LN004059,2025-01-01,229202.4130437693,Current,2025-01-11,ServicerSecondary
LN000562,2025-04-01,190950.4026878331,Current,2025-04-11,ServicerSecondary
LN000278,2025-02-01,260147.27681670478,Current,2025-02-11,ServicerSecondary
LN003527,2025-01-01,249050.93902390182,Current,2025-01-11,ServicerSecondary
LN000909,2025-02-01,291059.2735140822,Current,2025-02-11,ServicerSecondary
LN004328,2025-03-01,394560.88402698614,Current,2025-03-11,ServicerSecondary
LN000402,2025-04-01,295826.7702675202,Current,2025-04-11,ServicerSecondary
LN004569,2025-04-01,171723.9266549823,Current,2025-04-11,ServicerSecondary
LN002110,2025-05-01,305139.35250933166,Current,2025-05-11,ServicerSecondary
LN001151,2025-06-01,327556.97417495155,Current,2025-06-11,ServicerSecondary
LN002397,2025-01-01,224101.13167311312,Current,2025-01-11,ServicerSecondary
LN003205,2025-01-01,166510.68947799393,Current,2025-01-11,ServicerSecondary
LN004028,2025-05-01,297832.90415692684,Current,2025-05-11,ServicerSecondary
LN004054,2025-05-01,0.0,Prepaid,2025-05-11,ServicerSecondary
LN004050,2025-04-01,143866.719932543,Current,2025-04-11,ServicerSecondary
LN003543,2025-04-01,80184.87054510383,Current,2025-04-11,ServicerSecondary
LN000741,2025-06-01,421420.09965163755,Current,2025-06-11,ServicerSecondary
LN003651,2025-01-01,322302.4470368643,Current,2025-01-11,ServicerSecondary
LN002934,2025-02-01,203831.25116764137,Current,2025-02-11,ServicerSecondary
LN004105,2025-03-01,281414.6400313007,Current,2025-03-11,ServicerSecondary
LN002720,2025-04-01,0.0,Prepaid,2025-04-11,ServicerSecondary
LN000255,2025-02-01,349623.5472764893,Current,2025-02-11,ServicerSecondary
LN000560,2025-02-01,432193.09455265733,Current,2025-02-11,ServicerSecondary
LN000892,2025-02-01,384422.48392823647,Current,2025-02-11,ServicerSecondary
LN000156,2025-06-01,313349.68148098886,Current,2025-06-11,ServicerSecondary
LN001925,2025-04-01,239607.1195548655,Current,2025-04-11,ServicerSecondary
LN001847,2025-02-01,336663.31015655753,Current,2025-02-11,ServicerSecondary
LN003266,2025-05-01,314887.7472574124,Current,2025-05-11,ServicerSecondary
LN003256,2025-04-01,292280.4708759441,Current,2025-04-11,ServicerSecondary
LN002238,2025-03-01,299485.0548404294,Current,2025-03-11,ServicerSecondary
LN003668,2025-02-01,371665.59605011507,Current,2025-02-11,ServicerSecondary
LN000035,2025-01-01,434613.2219441913,30 DPD,2025-01-11,ServicerSecondary
LN004741,2025-01-01,207395.486597903,Current,2025-01-11,ServicerSecondary
LN004072,2025-05-01,271774.0918295622,30 DPD,2025-05-11,ServicerSecondary
LN002849,2025-03-01,234814.8618178828,Current,2025-03-11,ServicerSecondary
LN001307,2025-03-01,292952.6101245707,30 DPD,2025-03-11,ServicerSecondary
LN002355,2025-02-01,172333.78599233102,Current,2025-02-11,ServicerSecondary
LN003225,2025-06-01,322265.0146158094,Current,2025-06-11,ServicerSecondary
LN002958,2025-01-01,298254.2865345916,Current,2025-01-11,ServicerSecondary
LN003595,2025-01-01,354195.5349156784,Current,2025-01-11,ServicerSecondary
LN001334,2025-01-01,285811.00641387433,Current,2025-01-11,ServicerSecondary
LN004068,2025-03-01,213880.95613389486,Current,2025-03-11,ServicerSecondary
LN002938,2025-05-01,278102.0399677244,Current,2025-05-11,ServicerSecondary
LN002422,2025-06-01,143308.58520046982,Current,2025-06-11,ServicerSecondary
LN001539,2025-04-01,269491.0968005728,30 DPD,2025-04-11,ServicerSecondary
LN002597,2025-03-01,276022.7287629574,Current,2025-03-11,ServicerSecondary
LN003550,2025-02-01,432585.70820381027,Current,2025-02-11,ServicerSecondary
LN001663,2025-06-01,419421.4400945677,Current,2025-06-11,ServicerSecondary
LN000668,2025-05-01,212392.2909321094,Current,2025-05-11,ServicerSecondary
LN002619,2025-04-01,249584.9986072514,Current,2025-04-11,ServicerSecondary
LN001581,2025-01-01,244207.84677313105,Current,2025-01-11,ServicerSecondary
LN002541,2025-03-01,190264.29523840154,Current,2025-03-11,ServicerSecondary
LN001095,2025-04-01,508670.8122652788,60 DPD,2025-04-11,ServicerSecondary
LN001679,2025-01-01,300524.98671732756,Current,2025-01-11,ServicerSecondary
LN001372,2025-02-01,56199.011183726296,Current,2025-02-11,ServicerSecondary
LN002996,2025-06-01,0.0,Prepaid,2025-06-11,ServicerSecondary
LN004859,2025-06-01,435199.5947464095,Current,2025-06-11,ServicerSecondary
LN001410,2025-05-01,248326.78106475464,30 DPD,2025-05-11,ServicerSecondary
LN003107,2025-03-01,384226.16163683473,Current,2025-03-11,ServicerSecondary
LN004046,2025-02-01,51556.186581047754,Current,2025-02-11,ServicerSecondary
LN002242,2025-06-01,270232.51278812817,Current,2025-06-11,ServicerSecondary
LN000117,2025-03-01,250276.24902507162,60 DPD,2025-03-11,ServicerSecondary
LN001713,2025-03-01,169739.48380665266,Current,2025-03-11,ServicerSecondary
LN001306,2025-03-01,300531.77314674517,Current,2025-03-11,ServicerSecondary
LN001558,2025-01-01,319902.4504669577,Current,2025-01-11,ServicerSecondary
LN000017,2025-04-01,127488.71626903722,Current,2025-04-11,ServicerSecondary
LN004998,2025-05-01,236062.16518670568,Current,2025-05-11,ServicerSecondary
LN000082,2025-04-01,440165.9878226438,Current,2025-04-11,ServicerSecondary
LN004426,2025-03-01,364419.21463587036,Current,2025-03-11,ServicerSecondary
LN002697,2025-04-01,244935.21586136552,Current,2025-04-11,ServicerSecondary
LN002750,2025-05-01,134200.41177853988,Current,2025-05-11,ServicerSecondary
LN000734,2025-04-01,293975.15135459515,Current,2025-04-11,ServicerSecondary
LN001067,2025-04-01,137381.56430072957,Current,2025-04-11,ServicerSecondary
LN001675,2025-03-01,259057.8625008894,Current,2025-03-11,ServicerSecondary
LN004776,2025-02-01,321523.72088199446,Current,2025-02-11,ServicerSecondary
LN004122,2025-01-01,89540.73670019384,Current,2025-01-11,ServicerSecondary
LN000108,2025-05-01,222203.90401156494,Current,2025-05-11,ServicerSecondary
LN001310,2025-06-01,215472.3264722497,Current,2025-06-11,ServicerSecondary
LN003290,2025-06-01,294534.16932737915,Current,2025-06-11,ServicerSecondary
LN004458,2025-03-01,195290.1995775498,Current,2025-03-11,ServicerSecondary
LN003522,2025-02-01,212115.94710763806,Current,2025-02-11,ServicerSecondary
LN001229,2025-06-01,215254.82172038066,Current,2025-06-11,ServicerSecondary
LN004501,2025-03-01,366828.9006087417,Current,2025-03-11,ServicerSecondary
LN003715,2025-05-01,229840.7442396925,Current,2025-05-11,ServicerSecondary
LN003471,2025-01-01,256484.4973691134,Current,2025-01-11,ServicerSecondary
LN001966,2025-04-01,475956.0022320744,Current,2025-04-11,ServicerSecondary
LN002247,2025-02-01,298678.1873524714,Current,2025-02-11,ServicerSecondary
LN004860,2025-04-01,301105.2677163524,Current,2025-04-11,ServicerSecondary
LN004642,2025-03-01,219366.553717528,Current,2025-03-11,ServicerSecondary
LN002525,2025-01-01,298313.7838268394,Current,2025-01-11,ServicerSecondary
LN004011,2025-02-01,205469.12844266626,Current,2025-02-11,ServicerSecondary
LN002981,2025-06-01,0.0,Default,2025-06-11,ServicerSecondary
LN000307,2025-04-01,375922.4398334915,Current,2025-04-11,ServicerSecondary
LN003082,2025-06-01,312918.26175307814,Current,2025-06-11,ServicerSecondary
LN003027,2025-01-01,378850.8936570877,Current,2025-01-11,ServicerSecondary
LN004128,2025-01-01,157092.0245997553,Current,2025-01-11,ServicerSecondary
LN000463,2025-04-01,204712.54675142982,Current,2025-04-11,ServicerSecondary
LN003317,2025-03-01,367449.0666984823,Current,2025-03-11,ServicerSecondary
LN001381,2025-06-01,400505.83297837176,Current,2025-06-11,ServicerSecondary
LN004821,2025-03-01,537515.9407721112,Current,2025-03-11,ServicerSecondary
LN004358,2025-03-01,280080.4606424076,Current,2025-03-11,ServicerSecondary
LN003101,2025-03-01,224443.0030375253,Current,2025-03-11,ServicerSecondary
LN003948,2025-06-01,278699.5639250126,Current,2025-06-11,ServicerSecondary
LN003220,2025-06-01,182715.178388203,Current,2025-06-11,ServicerSecondary
LN003712,2025-05-01,76658.17402587099,Current,2025-05-11,ServicerSecondary
LN003338,2025-04-01,334913.98774561315,Current,2025-04-11,ServicerSecondary
LN004770,2025-01-01,225071.9224637368,Current,2025-01-11,ServicerSecondary
LN001492,2025-04-01,267024.16433192056,Current,2025-04-11,ServicerSecondary
LN003832,2025-05-01,353000.4446048606,Current,2025-05-11,ServicerSecondary
LN001861,2025-03-01,233141.56701906282,Current,2025-03-11,ServicerSecondary
LN003247,2025-03-01,102668.07650386008,Current,2025-03-11,ServicerSecondary
LN001580,2025-02-01,367975.21445171314,Current,2025-02-11,ServicerSecondary
LN002382,2025-02-01,265950.7132963927,60 DPD,2025-02-11,ServicerSecondary
LN001271,2025-06-01,223087.61078857223,Current,2025-06-11,ServicerSecondary
LN003718,2025-05-01,0.0,Default,2025-05-11,ServicerSecondary
LN001117,2025-02-01,183330.55459474566,Current,2025-02-11,ServicerSecondary
LN003007,2025-02-01,337635.9454354341,Current,2025-02-11,ServicerSecondary
LN002659,2025-05-01,196049.78796547637,Current,2025-05-11,ServicerSecondary
LN002993,2025-03-01,134022.1814013853,Current,2025-03-11,ServicerSecondary
LN002541,2025-06-01,190966.23356327927,Current,2025-06-11,ServicerSecondary
LN004917,2025-03-01,327466.0045519729,Current,2025-03-11,ServicerSecondary
LN003603,2025-01-01,348444.49687429285,Current,2025-01-11,ServicerSecondary
LN002654,2025-01-01,160978.61460781295,Current,2025-01-11,ServicerSecondary
LN000260,2025-06-01,178681.36864055568,Current,2025-06-11,ServicerSecondary
LN001187,2025-02-01,209543.03721810135,Current,2025-02-11,ServicerSecondary
LN000272,2025-04-01,346899.1370642326,Current,2025-04-11,ServicerSecondary
LN000941,2025-05-01,364294.50726631883,Current,2025-05-11,ServicerSecondary
LN001266,2025-03-01,180251.02015401426,Current,2025-03-11,ServicerSecondary
LN003184,2025-03-01,412435.375705673,Current,2025-03-11,ServicerSecondary
LN004363,2025-03-01,336376.8935868073,Current,2025-03-11,ServicerSecondary
LN004640,2025-01-01,424154.1331485316,Current,2025-01-11,ServicerSecondary
LN002735,2025-01-01,194101.08898932402,Current,2025-01-11,ServicerSecondary
LN002384,2025-06-01,83966.37038404468,Current,2025-06-11,ServicerSecondary
LN001069,2025-04-01,235244.62903584796,Current,2025-04-11,ServicerSecondary
LN002038,2025-02-01,526149.7453848172,Current,2025-02-11,ServicerSecondary
LN001743,2025-01-01,405467.428651836,Current,2025-01-11,ServicerSecondary
LN000118,2025-05-01,194508.05058866215,Current,2025-05-11,ServicerSecondary
LN001315,2025-02-01,347814.90087774105,Current,2025-02-11,ServicerSecondary
LN003105,2025-03-01,225062.98779289427,Current,2025-03-11,ServicerSecondary
LN000454,2025-05-01,212289.84862954027,Current,2025-05-11,ServicerSecondary
LN002510,2025-01-01,185513.7346074239,Current,2025-01-11,ServicerSecondary
LN001662,2025-03-01,268718.597310361,Current,2025-03-11,ServicerSecondary
LN002148,2025-06-01,406745.6461606477,Current,2025-06-11,ServicerSecondary
LN004744,2025-03-01,139014.41232558253,Current,2025-03-11,ServicerSecondary
LN001501,2025-04-01,376847.8866609011,Current,2025-04-11,ServicerSecondary
LN001875,2025-03-01,99491.14814397198,Current,2025-03-11,ServicerSecondary
LN004600,2025-05-01,282682.85931629397,Current,2025-05-11,ServicerSecondary
LN002787,2025-01-01,294336.04259834776,Current,2025-01-11,ServicerSecondary
LN000424,2025-01-01,311177.81963800115,Current,2025-01-11,ServicerSecondary
LN004569,2025-05-01,173971.14716107596,Current,2025-05-11,ServicerSecondary
LN002923,2025-03-01,273193.48378050013,Current,2025-03-11,ServicerSecondary
LN004702,2025-01-01,451600.79315904714,30 DPD,2025-01-11,ServicerSecondary
LN001307,2025-04-01,306688.28711094655,30 DPD,2025-04-11,ServicerSecondary
LN003550,2025-05-01,391622.0779474764,Current,2025-05-11,ServicerSecondary
LN003808,2025-02-01,337009.498386106,Current,2025-02-11,ServicerSecondary
LN002550,2025-03-01,243656.07873195302,Current,2025-03-11,ServicerSecondary
LN001895,2025-04-01,240824.3461822972,Current,2025-04-11,ServicerSecondary
LN000052,2025-05-01,421470.50003289117,Current,2025-05-11,ServicerSecondary
LN001761,2025-03-01,295503.912396043,Current,2025-03-11,ServicerSecondary
LN002109,2025-03-01,234272.08389345897,Current,2025-03-11,ServicerSecondary
LN003919,2025-01-01,411447.7165683654,Current,2025-01-11,ServicerSecondary
LN003897,2025-05-01,239882.83000740843,Current,2025-05-11,ServicerSecondary
LN002668,2025-02-01,324670.7021146375,Current,2025-02-11,ServicerSecondary
LN003911,2025-01-01,246623.95623171728,Current,2025-01-11,ServicerSecondary
LN004894,2025-04-01,269932.4170309742,Current,2025-04-11,ServicerSecondary
LN004171,2025-01-01,238195.73025951744,Current,2025-01-11,ServicerSecondary
LN002664,2025-02-01,177122.37612010835,Current,2025-02-11,ServicerSecondary
LN003001,2025-04-01,276182.7093666935,Current,2025-04-11,ServicerSecondary
LN000301,2025-03-01,283148.6760204895,Current,2025-03-11,ServicerSecondary
LN003076,2025-06-01,171267.95717473532,Current,2025-06-11,ServicerSecondary
LN003898,2025-05-01,444462.90123435576,Current,2025-05-11,ServicerSecondary
LN001829,2025-06-01,227280.08713588558,Current,2025-06-11,ServicerSecondary
LN002493,2025-05-01,224998.06774358504,Current,2025-05-11,ServicerSecondary
LN000060,2025-01-01,486876.3777723265,Current,2025-01-11,ServicerSecondary
LN000850,2025-05-01,328374.05212321423,Current,2025-05-11,ServicerSecondary
LN004524,2025-02-01,53319.21065557794,Current,2025-02-11,ServicerSecondary
