loan_id,origination_month,original_balance,interest_rate,credit_score_band,ltv_band,dti_band,state,loan_purpose,occupancy_type,property_type
LN000019,2022-12-01,331988.61,7.042,800+,60-70%,<30%,CA,Purchase,Owner-Occupied,Single-Family
LN000020,2023-10-01,272879.48,6.077,<600,90-95%,30-40%,NY,Purchase,Owner-Occupied,Multi-Unit
LN000021,2024-01-01,238867.72,2.5,700-749,70-80%,>50%,OH,Refinance-Rate-Term,Owner-Occupied,Single-Family
LN000022,2024-03-01,232843.79,5.187,800+,80-90%,40-50%,NC,Purchase,Owner-Occupied,Single-Family
LN000023,2024-04-01,311294.8,5.878,650-699,<60%,40-50%,FL,Refinance-Rate-Term,Investment,Single-Family
LN000024,2023-04-01,211055.13,4.227,650-699,70-80%,40-50%,PA,Refinance-Cashout,Owner-Occupied,Single-Family
LN000025,2023-03-01,267151.7,5.28,<600,90-95%,40-50%,GA,Purchase,Owner-Occupied,Single-Family
LN000026,2022-03-01,375044.66,4.23,600-649,70-80%,<30%,FL,Refinance-Cashout,Owner-Occupied,Single-Family
LN000027,2022-07-01,169867.69,3.708,<600,70-80%,>50%,PA,Refinance-Rate-Term,Owner-Occupied,Single-Family
LN000028,2023-09-01,295633.3,7.266,750-799,90-95%,40-50%,NC,Refinance-Cashout,Owner-Occupied,Multi-Unit
LN000029,2022-09-01,121101.06,5.323,750-799,80-90%,30-40%,NC,Purchase,Owner-Occupied,Single-Family
LN000030,2023-06-01,322792.97,3.341,750-799,<60%,30-40%,PA,Purchase,Owner-Occupied,Single-Family
LN000031,2022-04-01,202119.08,2.935,700-749,70-80%,40-50%,IL,Purchase,Investment,Single-Family
LN000032,2024-01-01,401959.18,3.709,750-799,<60%,<30%,CA,Purchase,Owner-Occupied,Single-Family
LN000033,2023-02-01,152305.27,3.717,700-749,90-95%,30-40%,FL,Purchase,Owner-Occupied,Single-Family
LN000034,2022-09-01,344207.9,5.22,650-699,70-80%,<30%,FL,Refinance-Cashout,Investment,Single-Family
LN000035,2024-02-01,422113.11,5.728,700-749,>95%,40-50%,NY,Purchase,Owner-Occupied,Single-Family
LN000036,2022-02-01,196931.06,5.727,600-649,<60%,<30%,IL,Refinance-Cashout,Owner-Occupied,Single-Family
LN000037,2023-08-01,213811.51,3.875,800+,70-80%,30-40%,GA,Purchase,Owner-Occupied,Single-Family
LN000038,2024-04-01,205580.44,6.381,700-749,60-70%,<30%,NC,Purchase,Investment,Single-Family
LN000039,2022-07-01,251413.73,6.842,750-799,70-80%,40-50%,OH,Purchase,Owner-Occupied,Single-Family
LN000040,2022-08-01,351742.18,4.61,750-799,60-70%,>50%,MI,Refinance-Cashout,Owner-Occupied,Single-Family
LN000041,2024-11-01,243249.51,3.452,750-799,70-80%,30-40%,PA,Purchase,Owner-Occupied,Multi-Unit
LN000042,2023-02-01,187904.18,5.15,<600,80-90%,<30%,FL,Purchase,Owner-Occupied,Condo
LN000043,2023-05-01,98124.63,8.24,700-749,60-70%,30-40%,NC,Refinance-Cashout,Investment,Multi-Unit
LN000044,2024-12-01,460194.75,3.413,750-799,70-80%,40-50%,MI,Purchase,Owner-Occupied,Multi-Unit
LN000045,2022-04-01,468049.56,4.211,<600,90-95%,40-50%,CA,Refinance-Rate-Term,Owner-Occupied,Single-Family
LN000046,2022-02-01,356023.7,5.086,800+,>95%,40-50%,NC,Purchase,Owner-Occupied,Single-Family
LN000047,2022-06-01,218961.63,5.812,700-749,70-80%,30-40%,FL,Purchase,Owner-Occupied,Single-Family
LN000048,2022-04-01,374770.21,2.5,650-699,90-95%,<30%,NC,Purchase,Second Home,Single-Family
LN000049,2024-05-01,394870.69,6.959,700-749,70-80%,<30%,MI,Refinance-Cashout,Owner-Occupied,Single-Family
LN000050,2023-06-01,274575.19,6.938,750-799,70-80%,>50%,CA,Refinance-Cashout,Owner-Occupied,Single-Family
LN000051,2024-02-01,304136.85,4.363,700-749,90-95%,40-50%,GA,Purchase,Investment,Single-Family
LN000052,2024-10-01,423176.82,9.0,700-749,80-90%,40-50%,PA,Purchase,Second Home,Single-Family
LN000053,2022-10-01,135953.86,6.842,700-749,90-95%,40-50%,NC,Purchase,Owner-Occupied,Single-Family
LN000054,2024-12-01,399842.28,6.762,700-749,80-90%,40-50%,NY,Purchase,Owner-Occupied,Multi-Unit
LN000055,2023-02-01,269084.62,6.781,600-649,60-70%,30-40%,IL,Purchase,Owner-Occupied,Single-Family
LN000056,2024-07-01,188742.17,6.738,<600,70-80%,<30%,PA,Purchase,Owner-Occupied,Condo
LN000057,2023-03-01,196969.35,4.967,600-649,70-80%,>50%,NC,Purchase,Owner-Occupied,Single-Family
LN000058,2022-08-01,213527.79,4.819,650-699,70-80%,>50%,PA,Purchase,Investment,Single-Family
LN000059,2023-02-01,178992.93,3.585,650-699,60-70%,30-40%,NC,Refinance-Rate-Term,Investment,Single-Family
LN000060,2023-11-01,477138.9,4.134,700-749,70-80%,40-50%,TX,Refinance-Cashout,Second Home,Single-Family
LN000061,2023-09-01,349120.29,4.534,700-749,90-95%,30-40%,NY,Purchase,Owner-Occupied,Multi-Unit
LN000062,2023-04-01,406448.28,5.098,<600,90-95%,<30%,FL,Refinance-Rate-Term,Investment,Single-Family
LN000063,2023-06-01,356236.83,7.397,<600,70-80%,30-40%,NY,Purchase,Owner-Occupied,Single-Family
LN000064,2023-12-01,306122.76,2.5,600-649,70-80%,40-50%,CA,Purchase,Owner-Occupied,Single-Family
LN000065,2024-02-01,307475.53,7.017,700-749,80-90%,40-50%,TX,Refinance-Rate-Term,Owner-Occupied,Single-Family
LN000066,2024-01-01,260248.74,3.482,<600,70-80%,40-50%,NY,Refinance-Rate-Term,Second Home,Multi-Unit
LN000067,2024-05-01,268421.76,4.843,700-749,>95%,<30%,MI,Purchase,Owner-Occupied,Single-Family
LN000068,2023-03-01,159189.66,3.913,700-749,60-70%,30-40%,NY,Purchase,Investment,Single-Family
LN000069,2022-01-01,408182.62,7.781,700-749,70-80%,>50%,IL,Refinance-Cashout,Investment,Single-Family
LN000070,2024-01-01,118676.67,4.25,750-799,90-95%,<30%,NC,Refinance-Rate-Term,Owner-Occupied,Single-Family
LN000071,2022-07-01,194138.94,5.782,650-699,90-95%,40-50%,CA,Refinance-Rate-Term,Investment,Single-Family
LN000072,2022-09-01,501203.41,5.86,650-699,70-80%,40-50%,GA,Refinance-Rate-Term,Investment,Single-Family
LN000073,2023-12-01,313617.29,3.26,650-699,60-70%,40-50%,FL,Purchase,Owner-Occupied,Single-Family
LN000074,2022-01-01,317771.04,4.855,<600,80-90%,>50%,NC,Purchase,Owner-Occupied,Single-Family
LN000075,2022-08-01,363733.85,6.806,600-649,70-80%,30-40%,GA,Refinance-Cashout,Owner-Occupied,Single-Family
LN000076,2023-12-01,145966.25,3.69,750-799,80-90%,40-50%,GA,Purchase,Owner-Occupied,Single-Family
LN000077,2022-11-01,160620.66,6.243,650-699,70-80%,<30%,NC,Purchase,Owner-Occupied,Single-Family
LN000078,2023-05-01,255510.57,4.503,800+,60-70%,30-40%,NY,Refinance-Rate-Term,Owner-Occupied,Single-Family
LN000079,2022-08-01,209663.9,6.745,650-699,<60%,30-40%,IL,Purchase,Investment,Single-Family
LN000080,2024-11-01,292504.4,7.621,750-799,70-80%,30-40%,OH,Purchase,Investment,Single-Family
LN000081,2024-11-01,348554.93,2.5,750-799,60-70%,>50%,TX,Purchase,Owner-Occupied,Single-Family
LN000082,2024-09-01,438916.3,2.993,650-699,60-70%,40-50%,OH,Purchase,Owner-Occupied,Single-Family
LN000083,2022-05-01,381108.83,4.342,650-699,70-80%,30-40%,FL,Refinance-Rate-Term,Owner-Occupied,Single-Family
LN000084,2024-04-01,200572.33,7.198,700-749,70-80%,<30%,PA,Purchase,Owner-Occupied,Condo
LN000085,2022-07-01,262503.59,5.799,750-799,70-80%,30-40%,PA,Purchase,Owner-Occupied,Single-Family
LN000086,2022-09-01,235305.48,3.133,700-749,60-70%,40-50%,PA,Purchase,Owner-Occupied,Single-Family
LN000087,2022-08-01,198343.91,6.018,600-649,90-95%,40-50%,MI,Purchase,Owner-Occupied,Single-Family
LN000088,2022-12-01,175582.49,3.629,700-749,60-70%,30-40%,TX,Purchase,Owner-Occupied,Single-Family
LN000089,2024-10-01,466431.24,6.306,650-699,70-80%,<30%,NC,Purchase,Investment,Single-Family
LN000090,2024-09-01,301064.22,5.808,800+,70-80%,30-40%,GA,Refinance-Rate-Term,Owner-Occupied,Condo
LN000091,2023-11-01,277576.98,3.623,750-799,90-95%,30-40%,OH,Refinance-Rate-Term,Owner-Occupied,Multi-Unit
LN000092,2023-12-01,348425.76,4.901,600-649,70-80%,40-50%,NC,Purchase,Owner-Occupied,Single-Family
LN000093,2024-11-01,353374.61,6.837,650-699,60-70%,30-40%,NY,Purchase,Owner-Occupied,Single-Family
LN000094,2023-10-01,411882.57,2.5,600-649,<60%,30-40%,TX,Purchase,Owner-Occupied,Single-Family
LN000095,2024-03-01,225633.84,5.452,750-799,80-90%,30-40%,NY,Purchase,Owner-Occupied,Single-Family
LN000096,2024-11-01,340272.22,3.34,800+,80-90%,30-40%,MI,Purchase,Owner-Occupied,Single-Family
LN000097,2022-01-01,208882.6,4.976,600-649,70-80%,30-40%,FL,Purchase,Owner-Occupied,Condo
LN000098,2024-11-01,280984.21,5.687,700-749,60-70%,40-50%,TX,Purchase,Owner-Occupied,Single-Family
LN000099,2023-02-01,305674.26,8.02,800+,70-80%,40-50%,TX,Refinance-Cashout,Owner-Occupied,Single-Family
LN000100,2022-03-01,315448.4,4.961,600-649,70-80%,40-50%,GA,Refinance-Rate-Term,Owner-Occupied,Single-Family
LN000101,2022-01-01,311032.11,7.198,650-699,80-90%,<30%,IL,Refinance-Cashout,Owner-Occupied,Single-Family
LN000102,2022-05-01,380183.1,3.739,650-699,<60%,<30%,PA,Purchase,Owner-Occupied,Single-Family
LN000103,2024-02-01,240301.16,4.257,<600,70-80%,30-40%,GA,Purchase,Owner-Occupied,Condo
LN000104,2023-02-01,318167.43,5.881,<600,70-80%,<30%,OH,Purchase,Owner-Occupied,Single-Family
LN000105,2024-03-01,224109.52,5.303,800+,70-80%,30-40%,OH,Refinance-Cashout,Investment,Single-Family
LN000106,2022-09-01,592075.26,4.507,700-749,70-80%,<30%,OH,Purchase,Second Home,Single-Family
LN000107,2023-03-01,208713.57,4.467,650-699,90-95%,<30%,OH,Purchase,Owner-Occupied,Multi-Unit
LN000108,2023-03-01,229934.73,7.0,700-749,70-80%,<30%,GA,Purchase,Owner-Occupied,Single-Family
LN000109,2024-02-01,388264.81,4.567,750-799,70-80%,40-50%,CA,Refinance-Rate-Term,Owner-Occupied,Single-Family
LN000110,2023-01-01,257053.49,3.469,700-749,70-80%,30-40%,FL,Purchase,Second Home,Single-Family
LN000111,2024-08-01,388304.61,3.718,650-699,70-80%,<30%,CA,Purchase,Second Home,Single-Family
LN000112,2024-08-01,315302.26,6.005,600-649,<60%,30-40%,GA,Refinance-Cashout,Owner-Occupied,Multi-Unit
LN000113,2022-04-01,259681.07,8.385,750-799,70-80%,40-50%,TX,Purchase,Owner-Occupied,Single-Family
LN000114,2024-06-01,224724.47,4.214,650-699,<60%,40-50%,OH,Purchase,Owner-Occupied,Single-Family
LN000115,2023-11-01,221116.34,8.223,600-649,>95%,<30%,PA,Purchase,Owner-Occupied,Single-Family
LN000116,2023-03-01,260767.9,4.984,700-749,70-80%,40-50%,CA,Refinance-Cashout,Investment,Single-Family
LN000117,2024-05-01,282560.37,4.58,<600,60-70%,30-40%,PA,Purchase,Owner-Occupied,Single-Family
LN000118,2024-12-01,216811.88,3.635,800+,60-70%,40-50%,NC,Purchase,Owner-Occupied,Single-Family
LN000119,2023-01-01,289076.76,4.703,700-749,70-80%,40-50%,FL,Refinance-Rate-Term,Second Home,Single-Family
LN000120,2024-08-01,190588.47,3.866,650-699,70-80%,40-50%,OH,Purchase,Owner-Occupied,Single-Family
LN000121,2022-07-01,375590.12,3.745,650-699,70-80%,40-50%,NY,Refinance-Cashout,Owner-Occupied,Single-Family
LN000122,2023-10-01,394736.24,2.522,700-749,70-80%,<30%,CA,Refinance-Rate-Term,Owner-Occupied,Single-Family
LN000123,2024-04-01,229567.48,7.649,700-749,90-95%,30-40%,OH,Purchase,Owner-Occupied,Condo
LN000124,2022-02-01,223982.69,6.597,750-799,70-80%,<30%,CA,Purchase,Owner-Occupied,Single-Family
LN000125,2022-06-01,317791.68,5.407,700-749,70-80%,>50%,NY,Refinance-Rate-Term,Owner-Occupied,Single-Family
LN000126,2024-04-01,426536.61,4.784,700-749,80-90%,30-40%,NC,Refinance-Rate-Term,Owner-Occupied,Condo
LN000127,2024-04-01,448666.37,4.992,800+,<60%,30-40%,IL,Refinance-Rate-Term,Owner-Occupied,Condo
LN000128,2023-08-01,159725.73,3.835,700-749,60-70%,<30%,OH,Purchase,Owner-Occupied,Single-Family
LN000129,2024-06-01,400630.48,3.299,700-749,70-80%,<30%,OH,Refinance-Cashout,Second Home,Single-Family
LN000130,2022-11-01,293844.67,6.076,750-799,80-90%,40-50%,FL,Purchase,Owner-Occupied,Condo
LN000131,2024-04-01,295781.03,4.607,750-799,70-80%,30-40%,GA,Purchase,Owner-Occupied,Single-Family
LN000132,2024-01-01,350471.24,5.489,700-749,60-70%,30-40%,CA,Refinance-Cashout,Owner-Occupied,Multi-Unit
LN000133,2024-09-01,251904.25,2.506,750-799,90-95%,<30%,NY,Refinance-Rate-Term,Owner-Occupied,Condo
LN000134,2022-01-01,409670.06,4.527,700-749,70-80%,40-50%,MI,Purchase,Owner-Occupied,Single-Family
LN000135,2024-03-01,442396.23,3.27,700-749,80-90%,<30%,NY,Refinance-Cashout,Owner-Occupied,Single-Family
LN000136,2023-01-01,446128.43,5.726,650-699,90-95%,30-40%,TX,Purchase,Owner-Occupied,Single-Family
LN000137,2022-03-01,115608.52,6.493,750-799,70-80%,40-50%,PA,Purchase,Owner-Occupied,Multi-Unit
LN000138,2022-06-01,277034.27,7.19,650-699,80-90%,30-40%,CA,Refinance-Rate-Term,Owner-Occupied,Condo
LN000139,2022-08-01,106476.94,4.057,<600,80-90%,<30%,FL,Purchase,Second Home,Single-Family
LN000140,2024-03-01,223471.99,3.308,800+,90-95%,40-50%,NC,Refinance-Cashout,Investment,Single-Family
LN000141,2022-09-01,60250.11,4.372,650-699,70-80%,30-40%,MI,Refinance-Cashout,Owner-Occupied,Single-Family
LN000142,2024-09-01,345026.66,3.951,650-699,90-95%,<30%,PA,Purchase,Owner-Occupied,Multi-Unit
LN000143,2023-12-01,321930.96,5.647,650-699,<60%,30-40%,TX,Refinance-Cashout,Owner-Occupied,Single-Family
LN000144,2023-03-01,256739.89,2.896,650-699,80-90%,<30%,NC,Purchase,Second Home,Single-Family
LN000145,2024-08-01,220885.19,2.5,700-749,70-80%,30-40%,TX,Purchase,Owner-Occupied,Single-Family
LN000146,2024-08-01,331403.16,4.48,600-649,60-70%,40-50%,OH,Refinance-Cashout,Owner-Occupied,Single-Family
LN000147,2023-12-01,198857.79,6.09,600-649,<60%,>50%,CA,Refinance-Cashout,Owner-Occupied,Multi-Unit
LN000148,2022-12-01,192053.79,3.459,650-699,70-80%,30-40%,IL,Purchase,Owner-Occupied,Single-Family
LN000149,2022-02-01,179758.38,6.274,650-699,70-80%,30-40%,OH,Purchase,Owner-Occupied,Single-Family
LN000150,2022-03-01,279615.91,5.548,600-649,60-70%,30-40%,FL,Purchase,Owner-Occupied,Single-Family
LN000151,2023-05-01,241769.24,7.32,700-749,60-70%,40-50%,NY,Purchase,Second Home,Single-Family
LN000152,2022-02-01,261576.2,3.797,650-699,70-80%,30-40%,IL,Purchase,Owner-Occupied,Single-Family
LN000153,2022-02-01,352180.87,2.59,<600,70-80%,<30%,FL,Purchase,Owner-Occupied,Condo
LN000154,2024-04-01,396329.66,5.898,750-799,70-80%,40-50%,PA,Purchase,Owner-Occupied,Single-Family
LN000155,2023-11-01,445048.08,5.42,750-799,90-95%,30-40%,FL,Refinance-Cashout,Owner-Occupied,Single-Family
LN000156,2024-08-01,306013.7,5.304,650-699,70-80%,30-40%,GA,Purchase,Owner-Occupied,Single-Family
LN000157,2024-09-01,334758.91,3.428,650-699,<60%,<30%,OH,Purchase,Second Home,Condo
LN000158,2022-01-01,318884.64,6.163,700-749,70-80%,40-50%,CA,Refinance-Cashout,Owner-Occupied,Single-Family
LN000159,2023-07-01,132581.43,4.05,700-749,80-90%,30-40%,TX,Purchase,Owner-Occupied,Single-Family
LN000160,2022-02-01,263030.29,5.303,800+,<60%,30-40%,NY,Refinance-Rate-Term,Owner-Occupied,Single-Family
LN000161,2024-02-01,263490.18,4.311,700-749,70-80%,30-40%,IL,Purchase,Owner-Occupied,Condo
LN000162,2024-08-01,248918.72,5.532,700-749,70-80%,40-50%,MI,Purchase,Owner-Occupied,Condo
LN000163,2022-06-01,295906.07,3.207,750-799,>95%,30-40%,NY,Purchase,Investment,Single-Family
LN000164,2024-08-01,278051.94,5.75,700-749,70-80%,<30%,NY,Purchase,Owner-Occupied,Multi-Unit
LN000165,2022-04-01,201367.32,5.986,600-649,80-90%,40-50%,NC,Purchase,Owner-Occupied,Single-Family
LN000166,2022-11-01,284897.4,5.174,700-749,70-80%,30-40%,NY,Purchase,Owner-Occupied,Single-Family
LN000167,2023-05-01,236094.96,7.466,600-649,80-90%,30-40%,NY,Purchase,Owner-Occupied,Condo
LN000168,2023-12-01,50000.0,5.311,<600,70-80%,30-40%,NY,Purchase,Owner-Occupied,Single-Family
LN000169,2022-05-01,160293.11,6.378,750-799,70-80%,30-40%,TX,Purchase,Owner-Occupied,Multi-Unit
LN000170,2024-10-01,308891.43,5.139,650-699,70-80%,<30%,GA,Refinance-Cashout,Owner-Occupied,Single-Family
LN000171,2022-06-01,409189.13,6.244,<600,90-95%,40-50%,NY,Refinance-Cashout,Owner-Occupied,Single-Family
LN000172,2023-10-01,57279.67,2.7,750-799,<60%,30-40%,IL,Refinance-Cashout,Owner-Occupied,Single-Family
LN000173,2022-11-01,212960.84,5.049,700-749,60-70%,>50%,GA,Refinance-Rate-Term,Investment,Single-Family
LN000174,2023-04-01,343145.38,3.31,650-699,80-90%,40-50%,NY,Purchase,Owner-Occupied,Single-Family
LN000175,2024-09-01,387819.55,5.211,650-699,70-80%,>50%,IL,Purchase,Owner-Occupied,Single-Family
LN000176,2022-09-01,257988.64,5.576,650-699,70-80%,30-40%,IL,Refinance-Cashout,Owner-Occupied,Single-Family
LN000177,2022-06-01,231721.76,6.211,650-699,70-80%,<30%,PA,Purchase,Owner-Occupied,Condo
LN000178,2023-04-01,421971.07,5.735,750-799,70-80%,40-50%,OH,Purchase,Owner-Occupied,Single-Family
LN000179,2024-05-01,379609.27,4.495,650-699,70-80%,40-50%,FL,Purchase,Owner-Occupied,Condo
LN000180,2022-03-01,385861.84,3.87,700-749,80-90%,40-50%,MI,Purchase,Owner-Occupied,Single-Family
LN000181,2023-08-01,253193.6,2.5,600-649,<60%,30-40%,FL,Purchase,Owner-Occupied,Single-Family
LN000182,2024-12-01,411369.42,5.103,800+,90-95%,30-40%,NC,Refinance-Cashout,Owner-Occupied,Single-Family
LN000183,2023-07-01,105493.13,6.707,700-749,70-80%,40-50%,CA,Refinance-Rate-Term,Owner-Occupied,Single-Family
LN000184,2024-02-01,413123.01,5.163,800+,60-70%,40-50%,MI,Purchase,Owner-Occupied,Condo
LN000185,2022-03-01,293346.78,4.873,700-749,70-80%,<30%,GA,Refinance-Rate-Term,Investment,Multi-Unit
LN000186,2023-07-01,312893.42,5.215,750-799,80-90%,40-50%,MI,Purchase,Owner-Occupied,Single-Family
LN000187,2023-08-01,205474.73,4.418,750-799,<60%,40-50%,FL,Refinance-Rate-Term,Second Home,Single-Family
LN000188,2024-08-01,118597.37,5.292,750-799,80-90%,<30%,IL,Refinance-Cashout,Owner-Occupied,Single-Family
LN000189,2022-07-01,310770.41,4.393,600-649,80-90%,>50%,FL,Purchase,Owner-Occupied,Multi-Unit
LN000190,2024-09-01,355139.45,3.652,<600,60-70%,30-40%,MI,Refinance-Rate-Term,Owner-Occupied,Condo
LN000191,2023-06-01,370269.24,4.887,650-699,60-70%,40-50%,CA,Purchase,Owner-Occupied,Single-Family
LN000192,2022-01-01,359477.86,4.854,600-649,60-70%,40-50%,MI,Purchase,Owner-Occupied,Single-Family
LN000193,2022-11-01,336816.17,7.813,750-799,80-90%,<30%,IL,Refinance-Rate-Term,Second Home,Single-Family
LN000194,2024-04-01,207621.36,3.791,700-749,70-80%,40-50%,GA,Refinance-Cashout,Owner-Occupied,Condo
LN000195,2024-01-01,376747.61,4.761,700-749,80-90%,40-50%,IL,Refinance-Rate-Term,Owner-Occupied,Condo
LN000196,2023-11-01,196437.77,4.615,650-699,70-80%,40-50%,NY,Refinance-Cashout,Owner-Occupied,Multi-Unit
LN000197,2024-07-01,410706.42,4.328,650-699,80-90%,30-40%,NC,Refinance-Cashout,Owner-Occupied,Single-Family
LN000198,2024-06-01,291601.81,5.77,650-699,70-80%,<30%,CA,Refinance-Rate-Term,Owner-Occupied,Single-Family
LN000199,2024-11-01,294929.08,8.357,700-749,70-80%,40-50%,IL,Refinance-Cashout,Owner-Occupied,Single-Family
LN000200,2022-07-01,386592.66,4.519,750-799,90-95%,30-40%,CA,Purchase,Owner-Occupied,Single-Family
LN000201,2023-04-01,400146.86,5.774,650-699,80-90%,30-40%,PA,Purchase,Owner-Occupied,Single-Family
LN000202,2024-02-01,377063.87,2.5,750-799,70-80%,30-40%,MI,Purchase,Owner-Occupied,Single-Family
LN000203,2022-02-01,217954.22,4.41,700-749,70-80%,30-40%,NC,Purchase,Investment,Single-Family
LN000204,2022-01-01,376266.96,7.333,750-799,70-80%,40-50%,TX,Refinance-Cashout,Owner-Occupied,Single-Family
LN000205,2022-12-01,218521.04,4.918,650-699,70-80%,40-50%,NY,Purchase,Owner-Occupied,Single-Family
LN000206,2022-05-01,378790.14,5.754,700-749,70-80%,40-50%,GA,Purchase,Owner-Occupied,Multi-Unit
LN000207,2024-08-01,157483.68,4.066,600-649,70-80%,40-50%,FL,Refinance-Cashout,Owner-Occupied,Single-Family
LN000208,2022-09-01,290631.99,5.386,650-699,>95%,40-50%,OH,Purchase,Owner-Occupied,Single-Family
LN000209,2024-11-01,217910.89,7.449,700-749,70-80%,<30%,OH,Purchase,Owner-Occupied,Condo
LN000210,2023-07-01,386993.57,3.26,750-799,<60%,40-50%,TX,Purchase,Owner-Occupied,Single-Family
LN000211,2023-04-01,411516.68,8.28,650-699,70-80%,30-40%,MI,Refinance-Rate-Term,Owner-Occupied,Single-Family
LN000212,2022-03-01,319899.65,2.681,650-699,<60%,30-40%,NY,Purchase,Owner-Occupied,Multi-Unit
LN000213,2023-08-01,316610.91,4.272,700-749,70-80%,30-40%,CA,Refinance-Cashout,Owner-Occupied,Multi-Unit
LN000214,2023-12-01,370417.71,3.746,700-749,70-80%,30-40%,GA,Purchase,Second Home,Single-Family
LN000215,2024-09-01,412111.49,4.591,700-749,70-80%,30-40%,MI,Refinance-Cashout,Owner-Occupied,Single-Family
LN000216,2023-12-01,303731.12,3.727,750-799,>95%,<30%,MI,Purchase,Owner-Occupied,Condo
LN000217,2022-11-01,250032.47,3.613,700-749,>95%,<30%,NC,Purchase,Owner-Occupied,Single-Family
LN000218,2022-08-01,364726.75,3.22,750-799,<60%,30-40%,CA,Purchase,Owner-Occupied,Single-Family
LN000219,2024-12-01,114127.26,5.966,750-799,70-80%,<30%,OH,Purchase,Owner-Occupied,Single-Family
LN000220,2023-08-01,390965.15,4.643,750-799,80-90%,30-40%,CA,Purchase,Investment,Multi-Unit
LN000221,2024-11-01,228981.31,4.251,700-749,60-70%,<30%,CA,Purchase,Owner-Occupied,Single-Family
LN000222,2024-01-01,275977.21,5.423,600-649,80-90%,<30%,NC,Purchase,Investment,Single-Family
LN000223,2024-11-01,391605.13,2.758,650-699,90-95%,40-50%,MI,Refinance-Cashout,Owner-Occupied,Single-Family
LN000224,2024-01-01,258449.05,5.46,800+,80-90%,40-50%,MI,Purchase,Owner-Occupied,Single-Family
LN000225,2024-05-01,364740.89,4.859,650-699,70-80%,>50%,PA,Refinance-Cashout,Owner-Occupied,Single-Family
LN000226,2023-06-01,413890.88,4.905,700-749,90-95%,40-50%,CA,Refinance-Cashout,Owner-Occupied,Single-Family
LN000227,2023-06-01,311003.31,5.779,750-799,90-95%,40-50%,OH,Purchase,Owner-Occupied,Single-Family
LN000228,2022-02-01,331144.82,7.465,700-749,80-90%,30-40%,FL,Purchase,Owner-Occupied,Condo
LN000229,2024-11-01,288056.41,5.484,700-749,70-80%,30-40%,MI,Refinance-Rate-Term,Investment,Single-Family
LN000230,2023-04-01,311559.8,4.7,600-649,80-90%,30-40%,NY,Refinance-Cashout,Owner-Occupied,Single-Family
LN000231,2024-12-01,188359.52,3.226,700-749,70-80%,30-40%,NY,Refinance-Cashout,Owner-Occupied,Single-Family
LN000232,2024-09-01,270626.19,2.5,650-699,70-80%,40-50%,GA,Refinance-Rate-Term,Owner-Occupied,Single-Family
LN000233,2022-04-01,171179.44,5.192,800+,70-80%,40-50%,CA,Purchase,Owner-Occupied,Single-Family
LN000234,2024-09-01,210123.28,3.111,750-799,>95%,40-50%,GA,Purchase,Owner-Occupied,Single-Family
LN000235,2023-02-01,99705.1,2.5,750-799,80-90%,30-40%,NC,Refinance-Cashout,Second Home,Single-Family
